Time (s),AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Sampling Rate
0.0000000000e+000,4.1794873047e+003,4.1984614258e+003,4.1764101563e+003,4.1846152344e+003,4.1282050781e+003,4.1553847656e+003,4.1923076172e+003,4.1441025391e+003,4.1825639648e+003,4.1553847656e+003,4.1753847656e+003,4.1702563477e+003,4.1938461914e+003,4.1728203125e+003,128
7.8125000000e-003,4.1789741211e+003,4.1989741211e+003,4.1800000000e+003,4.1830771484e+003,4.1133334961e+003,4.1558974609e+003,4.1769228516e+003,4.1451284180e+003,4.1835898438e+003,4.1651284180e+003,4.1743588867e+003,4.1723076172e+003,4.1917949219e+003,4.1728203125e+003,
1.5625000000e-002,4.1820512695e+003,4.2010258789e+003,4.1876923828e+003,4.1841025391e+003,4.1051284180e+003,4.1548715820e+003,4.1743588867e+003,4.1543588867e+003,4.1841025391e+003,4.1753847656e+003,4.1723076172e+003,4.1764101563e+003,4.1958974609e+003,4.1748715820e+003,
2.3437500000e-002,4.1815385742e+003,4.1989741211e+003,4.1841025391e+003,4.1856411133e+003,4.1225639648e+003,4.1538461914e+003,4.1984614258e+003,4.1615385742e+003,4.1835898438e+003,4.1656411133e+003,4.1738461914e+003,4.1717949219e+003,4.1933334961e+003,4.1733334961e+003,
3.1250000000e-002,4.1794873047e+003,4.2000000000e+003,4.1825639648e+003,4.1851284180e+003,4.1317949219e+003,4.1553847656e+003,4.2066665039e+003,4.1620512695e+003,4.1846152344e+003,4.1697436523e+003,4.1743588867e+003,4.1702563477e+003,4.1948715820e+003,4.1733334961e+003,
3.9062500000e-002,4.1774360352e+003,4.2020512695e+003,4.1830771484e+003,4.1835898438e+003,4.1256411133e+003,4.1558974609e+003,4.1825639648e+003,4.1574360352e+003,4.1846152344e+003,4.1635898438e+003,4.1697436523e+003,4.1702563477e+003,4.1984614258e+003,4.1712822266e+003,
4.6875000000e-002,4.1805126953e+003,4.2015385742e+003,4.1846152344e+003,4.1841025391e+003,4.1487177734e+003,4.1548715820e+003,4.1656411133e+003,4.1533334961e+003,4.1835898438e+003,4.1579487305e+003,4.1697436523e+003,4.1723076172e+003,4.1989741211e+003,4.1728203125e+003,
5.4687500000e-002,4.1825639648e+003,4.2020512695e+003,4.1856411133e+003,4.1851284180e+003,4.1579487305e+003,4.1538461914e+003,4.1656411133e+003,4.1476923828e+003,4.1830771484e+003,4.1758974609e+003,4.1748715820e+003,4.1738461914e+003,4.1974360352e+003,4.1692309570e+003,
6.2500000000e-002,4.1805126953e+003,4.2000000000e+003,4.1846152344e+003,4.1841025391e+003,4.1271796875e+003,4.1553847656e+003,4.1702563477e+003,4.1394873047e+003,4.1835898438e+003,4.1697436523e+003,4.1748715820e+003,4.1733334961e+003,4.1953847656e+003,4.1641025391e+003,
7.0312500000e-002,4.1810258789e+003,4.2030771484e+003,4.1861538086e+003,4.1846152344e+003,4.1420512695e+003,4.1553847656e+003,4.1794873047e+003,4.1394873047e+003,4.1841025391e+003,4.1482050781e+003,4.1738461914e+003,4.1764101563e+003,4.2056411133e+003,4.1707690430e+003,
7.8125000000e-002,4.1794873047e+003,4.2123076172e+003,4.1846152344e+003,4.1856411133e+003,4.1989741211e+003,4.1517949219e+003,4.1815385742e+003,4.1569228516e+003,4.1841025391e+003,4.1748715820e+003,4.1764101563e+003,4.1738461914e+003,4.2230771484e+003,4.1738461914e+003,
8.5937500000e-002,4.1779487305e+003,4.2092309570e+003,4.1851284180e+003,4.1830771484e+003,4.1851284180e+003,4.1538461914e+003,4.1800000000e+003,4.1641025391e+003,4.1841025391e+003,4.2066665039e+003,4.1774360352e+003,4.1723076172e+003,4.2184614258e+003,4.1712822266e+003,
9.3750000000e-002,4.1794873047e+003,4.1979487305e+003,4.1851284180e+003,4.1825639648e+003,4.1364101563e+003,4.1584614258e+003,4.1897436523e+003,4.1610258789e+003,4.1841025391e+003,4.1948715820e+003,4.1758974609e+003,4.1758974609e+003,4.2102563477e+003,4.1697436523e+003,
1.0156250000e-001,4.1789741211e+003,4.2051284180e+003,4.1810258789e+003,4.1851284180e+003,4.1758974609e+003,4.1548715820e+003,4.2020512695e+003,4.1717949219e+003,4.1851284180e+003,4.2102563477e+003,4.1764101563e+003,4.1738461914e+003,4.2225639648e+003,4.1687177734e+003,
1.0937500000e-001,4.1779487305e+003,4.2184614258e+003,4.1825639648e+003,4.1846152344e+003,4.2307690430e+003,4.1569228516e+003,4.2056411133e+003,4.1810258789e+003,4.1846152344e+003,4.2456411133e+003,4.1784614258e+003,4.1753847656e+003,4.2328203125e+003,4.1712822266e+003,
1.1718750000e-001,4.1784614258e+003,4.2158974609e+003,4.1820512695e+003,4.1820512695e+003,4.2138461914e+003,4.1676923828e+003,4.2230771484e+003,4.1825639648e+003,4.1835898438e+003,4.2512822266e+003,4.1769228516e+003,4.1748715820e+003,4.2364101563e+003,4.1702563477e+003,
1.2500000000e-001,4.1805126953e+003,4.2112822266e+003,4.1794873047e+003,4.1841025391e+003,4.1794873047e+003,4.1661538086e+003,4.2333334961e+003,4.1800000000e+003,4.1841025391e+003,4.2553847656e+003,4.1758974609e+003,4.1728203125e+003,4.2333334961e+003,4.1712822266e+003,
1.3281250000e-001,4.1800000000e+003,4.2133334961e+003,4.1810258789e+003,4.1861538086e+003,4.1856411133e+003,4.1548715820e+003,4.2189741211e+003,4.1748715820e+003,4.1846152344e+003,4.2702563477e+003,4.1784614258e+003,4.1743588867e+003,4.2241025391e+003,4.1753847656e+003,
1.4062500000e-001,4.1774360352e+003,4.2123076172e+003,4.1841025391e+003,4.1810258789e+003,4.2107690430e+003,4.1548715820e+003,4.2107690430e+003,4.1779487305e+003,4.1835898438e+003,4.2646152344e+003,4.1784614258e+003,4.1738461914e+003,4.2261538086e+003,4.1738461914e+003,
1.4843750000e-001,4.1794873047e+003,4.2133334961e+003,4.1861538086e+003,4.1794873047e+003,4.2384614258e+003,4.1605126953e+003,4.2256411133e+003,4.1948715820e+003,4.1846152344e+003,4.2528203125e+003,4.1800000000e+003,4.1769228516e+003,4.2410258789e+003,4.1748715820e+003,
1.5625000000e-001,4.1789741211e+003,4.2194873047e+003,4.1841025391e+003,4.1825639648e+003,4.2605126953e+003,4.1646152344e+003,4.2533334961e+003,4.2194873047e+003,4.1856411133e+003,4.2897436523e+003,4.1810258789e+003,4.1789741211e+003,4.2574360352e+003,4.1758974609e+003,
1.6406250000e-001,4.1774360352e+003,4.2189741211e+003,4.1820512695e+003,4.1825639648e+003,4.2302563477e+003,4.1676923828e+003,4.2543588867e+003,4.2138461914e+003,4.1846152344e+003,4.3092309570e+003,4.1835898438e+003,4.1794873047e+003,4.2558974609e+003,4.1743588867e+003,
1.7187500000e-001,4.1774360352e+003,4.2133334961e+003,4.1830771484e+003,4.1825639648e+003,4.2112822266e+003,4.1651284180e+003,4.2405126953e+003,4.1871796875e+003,4.1846152344e+003,4.2774360352e+003,4.1825639648e+003,4.1769228516e+003,4.2430771484e+003,4.1697436523e+003,
